VideoID,Video Title,Video Link,Transcript ID,Police Report ID
video_69,Boston Police Tackle and Arrest Fleeing Billerica Woman on Stolen Scooter Near Mass and Cass,https://www.youtube.com/watch?v=J-cGJtX1f0g,transcript_69,narrative_69
video_70,Suspect Busted by Boston Police Drug Unit with Assortment of Illegal Narcotics in Brighton,https://www.youtube.com/watch?v=K0HAr0YIW8I,transcript_70,narrative_70
video_71,Boston Police Drug Unit Arrests 19 Year Old for Narcotics Trafficking in Dorchester,https://www.youtube.com/watch?v=1le2rCWq8Xk,transcript_71,narrative_71
video_72,Boston Police Gang Unit Recovers Unlawful Firearm After Traffic Stop In Roxbury,https://www.youtube.com/watch?v=gmOggpZlEfs,transcript_72,narrative_72
video_73,Boston Police and FBI Agents Arrest Dorchester Man for Firearms and Multiple Kilos Of Narcotics,https://www.youtube.com/watch?v=nS01c0la7lE,transcript_73,narrative_73
video_74,Officers Arrest Three Suspects After An Unruly Loud Party Call In Dorchester,https://www.youtube.com/watch?v=Jpc_TogcTI4,transcript_74,narrative_74
video_75,Boston Police Chase Down and Tackle Suspects Fleeing on Stolen Moped in South Boston,https://www.youtube.com/watch?v=21FKxuTlZ54,transcript_75,narrative_75
video_76,Man Armed with a Machete Arrested by Boston Police in Dorchester After Assaulting Basketball Players,https://www.youtube.com/watch?v=XhoY6q-ikUk,transcript_76,narrative_76
video_77,Man Arrested by Boston Police Officers for Armed Robbery In East Boston,https://www.youtube.com/watch?v=Df-q3UyjmL8,transcript_77,narrative_77
video_78,Boston Police Officers Recover Illicit Drugs After A Traffic Stop In Roslindale,https://www.youtube.com/watch?v=znDxCTIHGJs,transcript_78,narrative_78
video_79,Boston Police Narcotics Taskforce Recover Loaded Firearm In Chelsea During Search Warrant,https://www.youtube.com/watch?v=bFNKeGyozzU,transcript_79,narrative_79
video_80,Boston Police Officers Arrest Suspect Following a Stabbing in Boston's South End,https://www.youtube.com/watch?v=b0kBj9QKIgk,transcript_80,narrative_80
video_81,Loaded Firearm Recovered During Traffic Stop In Dorchester by Boston Police Gang Unit,https://www.youtube.com/watch?v=xVCX9B9hKgw,transcript_81,narrative_81
video_82,Boston Police Officers Arrest Knife Wielding Suspect After Altercation in Burger King,https://www.youtube.com/watch?v=t0gucNknscc,transcript_82,narrative_82
video_83,Violent Attack on Boston Police Officer Leads to Two Arrests at South Bay,https://www.youtube.com/watch?v=2Z_yHeYnNrc,transcript_83,narrative_83
video_84,Police Foot Chase Leads to Five Suspects Arrested For Graffiti In Downtown Boston,https://www.youtube.com/watch?v=9XQYLmkMD7I,transcript_84,narrative_84
video_85,Boston Police Gang Unit Seizes Firearm after Struggle During Traffic Stop in Mattapan,https://www.youtube.com/watch?v=0QLew2J9NKw,transcript_85,narrative_85
video_86,Boston Police Gang Unit Recovered Large Amount Of Narcotics After Traffic Stop In Roxbury,https://www.youtube.com/watch?v=41BozYLLiyo,transcript_86,narrative_86
video_87,Boston Police Anti Crime Unit Arrests Suspect Driving Unregistered Vehicle on Firearms Charges,https://www.youtube.com/watch?v=xKHoWTvEtok,transcript_87,narrative_87
video_88,Boston Police Drug Control Unit Arrests Suspect with Loaded Firearm in Brighton,https://www.youtube.com/watch?v=IF4xs1dBZoA,transcript_88,narrative_88
video_89,Boston Officers Bust New York Theft Ring Selling Stolen Apple Products In Brighton,https://www.youtube.com/watch?v=YWaF4HlCmp0,transcript_89,narrative_89
video_90,Newton Arsonist Arrested by Boston Police After Starting South Boston Restaurant Fire,https://www.youtube.com/watch?v=mPyWXRgIdRc,transcript_90,narrative_90
